F0varsemi_a;mjitter_a;mshimmer_a;apq_a;ppq_a;mlogE_a;hnr_a;degreeU_a;duration_a;label
1,311868153;17,46934805;3,828689178;5,436971204;3,724757777;15,83601732;11,9805459;12,59017872;4,066208333;2
0,176947329;0,965241898;2,982515615;3,662432315;0,518255325;21,1207826;19,25123315;0,479059383;5,570875;2
0,18874305;0,9265904;2,697476572;3,61435907;0,579937803;19,64989902;21,48628108;0,424681372;9,733922902;0
0,757657652;2,815694371;5,577567658;7,46119882;1,930769382;18,45029768;20,11587628;0,395608848;11,7225;0
0,168200877;0,734798842;3,141867382;3,827761406;0,511735484;16,23833486;20,44909942;0,630589607;5,718916667;0
0,141845213;0,805205999;2,823787461;3,767438589;0,533126018;21,85230184;21,68080962;0,332582116;8,95775;0
0,503459712;1,111748147;4,414997636;5,546556481;0,685220576;11,48524598;16,45974007;0,347156648;7,501479167;0
0,459611067;1,850929495;3,349483734;3,458660992;1,154791877;18,22729858;22,85246518;0,573954715;5,608083333;0
0,139622103;0,576248752;3,049898133;4,258997134;0,340338314;21,62711091;22,85262297;0,517935929;4,670041667;0
0,227968555;0,930856568;3,307279064;4,495481904;0,527845455;16,88379614;21,3609389;0,512582628;4,491208333;0
2,946156565;2,97527752;3,670070164;4,741389667;2,782891394;15,56970549;21,74472464;0,325500563;8,011451247;0
0,344754172;2,833293612;2,829800391;3,309823654;0,738062918;18,9204842;18,73291331;1,849845271;12,49365079;0
0,18942387;1,090905568;2,911683172;3,935394573;0,724237972;20,06777388;24,24508919;0,31898339;9,646643991;0
0,467254918;4,851447046;3,950515259;4,611447872;1,129586579;17,85225406;12,14625369;3,486809249;6,215791667;0
0,245671851;1,197355122;4,622025061;5,005492239;0,85044314;15,6363413;18,23484467;1,158448025;5,4221875;0
0,545867666;1,013620415;2,457960456;2,626242169;0,562706989;16,51487385;23,09843704;0,761318334;4,107520833;0
